date,jobcountry,indeed_job_postings_index_SA,indeed_job_postings_index_NSA,variable
2020-02-01,DE,100,100,total postings
2020-02-02,DE,99.92,100,total postings
2020-02-03,DE,99.87,100.04,total postings
2020-02-04,DE,99.69,100.06,total postings
2020-02-05,DE,99.72,100.17,total postings
2020-02-06,DE,99.77,100.21,total postings
2020-02-07,DE,99.82,100.32,total postings
2020-02-08,DE,99.86,100.55,total postings
2020-02-09,DE,99.91,100.8,total postings
2020-02-10,DE,99.94,100.99,total postings
2020-02-11,DE,99.94,101.09,total postings
2020-02-12,DE,99.87,101.16,total postings
2020-02-13,DE,99.81,101.24,total postings
2020-02-14,DE,99.8,101.28,total postings
2020-02-15,DE,99.87,101.27,total postings
2020-02-16,DE,99.87,101.25,total postings
2020-02-17,DE,99.96,101.23,total postings
2020-02-18,DE,100.04,101.29,total postings
2020-02-19,DE,100.19,101.33,total postings
2020-02-20,DE,100.35,101.41,total postings
2020-02-21,DE,100.49,101.51,total postings
2020-02-22,DE,100.45,101.59,total postings
2020-02-23,DE,100.54,101.7,total postings
2020-02-24,DE,100.72,101.83,total postings
2020-02-25,DE,100.98,101.97,total postings
2020-02-26,DE,101.41,102.15,total postings
2020-02-27,DE,101.8,102.32,total postings
2020-02-28,DE,102.16,102.43,total postings
2020-02-29,DE,102.65,102.53,total postings
2020-03-01,DE,103.06,102.55,total postings
2020-03-02,DE,103.3,102.52,total postings
2020-03-03,DE,103.57,102.47,total postings
2020-03-04,DE,103.46,102.33,total postings
2020-03-05,DE,103.38,102.13,total postings
2020-03-06,DE,103.37,101.93,total postings
2020-03-07,DE,103.33,101.78,total postings
2020-03-08,DE,103.19,101.64,total postings
2020-03-09,DE,103.05,101.61,total postings
2020-03-10,DE,103,101.76,total postings
2020-03-11,DE,103.04,101.88,total postings
2020-03-12,DE,103.11,102.03,total postings
2020-03-13,DE,102.9,102.05,total postings
2020-03-14,DE,102.54,101.99,total postings
2020-03-15,DE,102.3,101.95,total postings
2020-03-16,DE,101.99,101.8,total postings
2020-03-17,DE,101.35,101.32,total postings
2020-03-18,DE,100.69,100.85,total postings
2020-03-19,DE,99.76,100.15,total postings
2020-03-20,DE,98.9,99.39,total postings
2020-03-21,DE,98.12,98.54,total postings
2020-03-22,DE,97.3,97.71,total postings
2020-03-23,DE,96.49,96.87,total postings
2020-03-24,DE,95.79,96.02,total postings
2020-03-25,DE,95.19,95.14,total postings
2020-03-26,DE,94.69,94.33,total postings
2020-03-27,DE,94.3,93.6,total postings
2020-03-28,DE,93.87,92.88,total postings
2020-03-29,DE,93.48,92.14,total postings
2020-03-30,DE,93.16,91.41,total postings
2020-03-31,DE,92.88,90.72,total postings
2020-04-01,DE,92.54,89.93,total postings
2020-04-02,DE,92.25,89.2,total postings
2020-04-03,DE,91.89,88.46,total postings
2020-04-04,DE,91.55,87.77,total postings
2020-04-05,DE,91.22,87.09,total postings
2020-04-06,DE,90.85,86.39,total postings
2020-04-07,DE,90.48,85.75,total postings
2020-04-08,DE,90.22,85.31,total postings
2020-04-09,DE,89.89,84.86,total postings
2020-04-10,DE,89.65,84.57,total postings
2020-04-11,DE,89.39,84.29,total postings
2020-04-12,DE,89.07,84.01,total postings
2020-04-13,DE,88.93,83.84,total postings
2020-04-14,DE,88.91,83.75,total postings
2020-04-15,DE,88.9,83.61,total postings
2020-04-16,DE,88.9,83.56,total postings
2020-04-17,DE,88.88,83.49,total postings
2020-04-18,DE,88.94,83.45,total postings
2020-04-19,DE,88.98,83.28,total postings
2020-04-20,DE,88.99,83.16,total postings
2020-04-21,DE,88.87,83.01,total postings
2020-04-22,DE,88.67,82.84,total postings
2020-04-23,DE,88.53,82.7,total postings
2020-04-24,DE,88.48,82.53,total postings
2020-04-25,DE,88.44,82.38,total postings
2020-04-26,DE,88.47,82.39,total postings
2020-04-27,DE,88.44,82.31,total postings
2020-04-28,DE,88.4,82.19,total postings
2020-04-29,DE,88.39,82.11,total postings
2020-04-30,DE,88.29,81.96,total postings
2020-05-01,DE,88.2,81.75,total postings
2020-05-02,DE,88.1,81.48,total postings
2020-05-03,DE,87.98,81.19,total postings
2020-05-04,DE,87.81,80.93,total postings
2020-05-05,DE,87.65,80.67,total postings
2020-05-06,DE,87.53,80.49,total postings
2020-05-07,DE,87.43,80.31,total postings
2020-05-08,DE,87.28,80.22,total postings
2020-05-09,DE,87.04,80.15,total postings
2020-05-10,DE,86.65,80.1,total postings
2020-05-11,DE,86.39,80.02,total postings
2020-05-12,DE,86.27,80,total postings
2020-05-13,DE,86.09,79.9,total postings
2020-05-14,DE,85.97,79.8,total postings
2020-05-15,DE,85.86,79.71,total postings
2020-05-16,DE,85.76,79.63,total postings
2020-05-17,DE,85.7,79.52,total postings
2020-05-18,DE,85.47,79.41,total postings
2020-05-19,DE,85.11,79.21,total postings
2020-05-20,DE,84.9,79.08,total postings
2020-05-21,DE,84.92,79.15,total postings
2020-05-22,DE,85.1,79.37,total postings
2020-05-23,DE,85.3,79.59,total postings
2020-05-24,DE,85.59,79.8,total postings
2020-05-25,DE,85.94,80.03,total postings
2020-05-26,DE,86.4,80.36,total postings
2020-05-27,DE,86.73,80.66,total postings
2020-05-28,DE,86.9,80.82,total postings
2020-05-29,DE,86.94,80.86,total postings
2020-05-30,DE,87.04,80.92,total postings
2020-05-31,DE,87.09,80.94,total postings
2020-06-01,DE,87.21,80.92,total postings
2020-06-02,DE,87.17,80.83,total postings
2020-06-03,DE,87.17,80.76,total postings
2020-06-04,DE,87.04,80.65,total postings
2020-06-05,DE,86.96,80.59,total postings
2020-06-06,DE,86.72,80.41,total postings
2020-06-07,DE,86.47,80.26,total postings
2020-06-08,DE,86.29,80.28,total postings
2020-06-09,DE,86.26,80.4,total postings
2020-06-10,DE,86.21,80.47,total postings
2020-06-11,DE,86.28,80.68,total postings
2020-06-12,DE,86.28,80.79,total postings
2020-06-13,DE,86.39,81.07,total postings
2020-06-14,DE,86.57,81.35,total postings
2020-06-15,DE,86.62,81.47,total postings
2020-06-16,DE,86.65,81.54,total postings
2020-06-17,DE,86.67,81.65,total postings
2020-06-18,DE,86.61,81.69,total postings
2020-06-19,DE,86.57,81.76,total postings
2020-06-20,DE,86.61,81.85,total postings
2020-06-21,DE,86.53,81.91,total postings
2020-06-22,DE,86.49,81.98,total postings
2020-06-23,DE,86.26,82.01,total postings
2020-06-24,DE,86.13,82.03,total postings
2020-06-25,DE,86.03,82.02,total postings
2020-06-26,DE,85.83,81.94,total postings
2020-06-27,DE,85.71,81.9,total postings
2020-06-28,DE,85.52,81.87,total postings
2020-06-29,DE,85.36,81.87,total postings
2020-06-30,DE,84.85,81.89,total postings
2020-07-01,DE,84.05,81.8,total postings
2020-07-02,DE,83.28,81.72,total postings
2020-07-03,DE,82.56,81.68,total postings
2020-07-04,DE,81.83,81.67,total postings
2020-07-05,DE,81.21,81.68,total postings
2020-07-06,DE,80.54,81.72,total postings
2020-07-07,DE,80.45,81.89,total postings
2020-07-08,DE,80.65,82.22,total postings
2020-07-09,DE,80.83,82.58,total postings
2020-07-10,DE,81.09,82.98,total postings
2020-07-11,DE,81.25,83.28,total postings
2020-07-12,DE,81.43,83.57,total postings
2020-07-13,DE,81.59,83.83,total postings
2020-07-14,DE,81.77,84.07,total postings
2020-07-15,DE,81.78,84.17,total postings
2020-07-16,DE,81.81,84.28,total postings
2020-07-17,DE,81.75,84.33,total postings
2020-07-18,DE,81.71,84.36,total postings
2020-07-19,DE,81.66,84.41,total postings
2020-07-20,DE,81.56,84.42,total postings
2020-07-21,DE,81.39,84.38,total postings
2020-07-22,DE,81.44,84.46,total postings
2020-07-23,DE,81.48,84.52,total postings
2020-07-24,DE,81.51,84.61,total postings
2020-07-25,DE,81.78,84.88,total postings
2020-07-26,DE,82.25,85.1,total postings
2020-07-27,DE,82.64,85.31,total postings
2020-07-28,DE,83.05,85.5,total postings
2020-07-29,DE,83.18,85.68,total postings
2020-07-30,DE,83.25,85.84,total postings
2020-07-31,DE,83.47,86.03,total postings
2020-08-01,DE,83.38,85.95,total postings
2020-08-02,DE,83.12,85.91,total postings
2020-08-03,DE,82.97,85.84,total postings
2020-08-04,DE,82.76,85.79,total postings
2020-08-05,DE,82.65,85.68,total postings
2020-08-06,DE,82.8,85.67,total postings
2020-08-07,DE,82.84,85.6,total postings
2020-08-08,DE,83.04,85.73,total postings
2020-08-09,DE,83.27,85.88,total postings
2020-08-10,DE,83.48,86.05,total postings
2020-08-11,DE,83.68,86.17,total postings
2020-08-12,DE,83.9,86.33,total postings
2020-08-13,DE,84.06,86.47,total postings
2020-08-14,DE,84.09,86.58,total postings
2020-08-15,DE,84.02,86.6,total postings
2020-08-16,DE,84.08,86.67,total postings
2020-08-17,DE,84.12,86.69,total postings
2020-08-18,DE,84.21,86.82,total postings
2020-08-19,DE,84.31,86.91,total postings
2020-08-20,DE,84.33,86.97,total postings
2020-08-21,DE,84.45,87.07,total postings
2020-08-22,DE,84.58,87.18,total postings
2020-08-23,DE,84.64,87.26,total postings
2020-08-24,DE,84.74,87.36,total postings
2020-08-25,DE,84.88,87.43,total postings
2020-08-26,DE,85.05,87.54,total postings
2020-08-27,DE,85.19,87.6,total postings
2020-08-28,DE,85.34,87.69,total postings
2020-08-29,DE,85.57,87.8,total postings
2020-08-30,DE,85.7,87.86,total postings
2020-08-31,DE,85.9,87.96,total postings
2020-09-01,DE,86.04,87.92,total postings
2020-09-02,DE,86.18,87.85,total postings
2020-09-03,DE,86.27,87.81,total postings
2020-09-04,DE,86.35,87.75,total postings
2020-09-05,DE,86.45,87.78,total postings
2020-09-06,DE,86.6,87.83,total postings
2020-09-07,DE,86.64,87.86,total postings
2020-09-08,DE,86.7,88.03,total postings
2020-09-09,DE,86.74,88.21,total postings
2020-09-10,DE,86.84,88.41,total postings
2020-09-11,DE,87.04,88.66,total postings
2020-09-12,DE,87.08,88.8,total postings
2020-09-13,DE,86.92,88.83,total postings
2020-09-14,DE,86.92,88.97,total postings
2020-09-15,DE,86.89,89.06,total postings
2020-09-16,DE,86.91,89.18,total postings
2020-09-17,DE,86.89,89.29,total postings
2020-09-18,DE,86.91,89.41,total postings
2020-09-19,DE,86.98,89.54,total postings
2020-09-20,DE,87.21,89.74,total postings
2020-09-21,DE,87.27,89.84,total postings
2020-09-22,DE,87.39,90.03,total postings
2020-09-23,DE,87.46,90.18,total postings
2020-09-24,DE,87.52,90.3,total postings
2020-09-25,DE,87.56,90.42,total postings
2020-09-26,DE,87.62,90.54,total postings
2020-09-27,DE,87.71,90.67,total postings
2020-09-28,DE,87.94,90.86,total postings
2020-09-29,DE,88.08,90.95,total postings
2020-09-30,DE,88.25,91.03,total postings
2020-10-01,DE,88.59,91.13,total postings
2020-10-02,DE,88.89,91.19,total postings
2020-10-03,DE,89.22,91.29,total postings
2020-10-04,DE,89.57,91.39,total postings
2020-10-05,DE,89.9,91.44,total postings
2020-10-06,DE,90.31,91.55,total postings
2020-10-07,DE,90.72,91.73,total postings
2020-10-08,DE,90.93,91.88,total postings
2020-10-09,DE,91.14,92.09,total postings
2020-10-10,DE,91.36,92.33,total postings
2020-10-11,DE,91.56,92.61,total postings
2020-10-12,DE,91.63,92.86,total postings
2020-10-13,DE,91.66,93.12,total postings
2020-10-14,DE,91.73,93.37,total postings
2020-10-15,DE,91.85,93.65,total postings
2020-10-16,DE,91.86,93.78,total postings
2020-10-17,DE,91.86,93.87,total postings
2020-10-18,DE,91.85,93.96,total postings
2020-10-19,DE,91.92,94.05,total postings
2020-10-20,DE,91.99,94.17,total postings
2020-10-21,DE,92.12,94.35,total postings
2020-10-22,DE,92.18,94.45,total postings
2020-10-23,DE,92.28,94.59,total postings
2020-10-24,DE,92.35,94.67,total postings
2020-10-25,DE,92.4,94.73,total postings
2020-10-26,DE,92.47,94.85,total postings
2020-10-27,DE,92.49,94.93,total postings
2020-10-28,DE,92.4,94.88,total postings
2020-10-29,DE,92.45,94.9,total postings
2020-10-30,DE,92.46,94.94,total postings
2020-10-31,DE,92.43,94.91,total postings
2020-11-01,DE,92.46,94.78,total postings
2020-11-02,DE,92.47,94.58,total postings
2020-11-03,DE,92.48,94.36,total postings
2020-11-04,DE,92.47,94.18,total postings
2020-11-05,DE,92.33,93.97,total postings
2020-11-06,DE,92.27,93.78,total postings
2020-11-07,DE,92.32,93.77,total postings
2020-11-08,DE,92.3,93.83,total postings
2020-11-09,DE,92.3,93.89,total postings
2020-11-10,DE,92.32,93.97,total postings
2020-11-11,DE,92.45,94.02,total postings
2020-11-12,DE,92.55,94.09,total postings
2020-11-13,DE,92.61,94.14,total postings
2020-11-14,DE,92.53,94.08,total postings
2020-11-15,DE,92.51,94.07,total postings
2020-11-16,DE,92.43,94.04,total postings
2020-11-17,DE,92.29,94.03,total postings
2020-11-18,DE,92.13,94.1,total postings
2020-11-19,DE,92,94.13,total postings
2020-11-20,DE,91.84,94.14,total postings
2020-11-21,DE,91.75,94.2,total postings
2020-11-22,DE,91.66,94.2,total postings
2020-11-23,DE,91.58,94.26,total postings
2020-11-24,DE,91.42,94.09,total postings
2020-11-25,DE,91.4,94.08,total postings
2020-11-26,DE,91.48,94.14,total postings
2020-11-27,DE,91.53,94.14,total postings
2020-11-28,DE,91.64,94.18,total postings
2020-11-29,DE,91.76,94.2,total postings
2020-11-30,DE,91.88,94.24,total postings
2020-12-01,DE,92.2,94.38,total postings
2020-12-02,DE,92.33,94.3,total postings
2020-12-03,DE,92.38,94.2,total postings
2020-12-04,DE,92.59,94.24,total postings
2020-12-05,DE,92.73,94.25,total postings
2020-12-06,DE,92.8,94.27,total postings
2020-12-07,DE,92.86,94.25,total postings
2020-12-08,DE,92.88,94.37,total postings
2020-12-09,DE,92.91,94.51,total postings
2020-12-10,DE,92.91,94.6,total postings
2020-12-11,DE,92.8,94.61,total postings
2020-12-12,DE,92.67,94.54,total postings
2020-12-13,DE,92.66,94.58,total postings
2020-12-14,DE,92.7,94.61,total postings
2020-12-15,DE,92.83,94.66,total postings
2020-12-16,DE,92.93,94.62,total postings
2020-12-17,DE,93.02,94.6,total postings
2020-12-18,DE,93.07,94.6,total postings
2020-12-19,DE,93.21,94.71,total postings
2020-12-20,DE,93.3,94.75,total postings
2020-12-21,DE,93.37,94.81,total postings
2020-12-22,DE,93.38,94.83,total postings
2020-12-23,DE,93.42,94.98,total postings
2020-12-24,DE,93.54,95.2,total postings
2020-12-25,DE,93.7,95.37,total postings
2020-12-26,DE,93.74,95.38,total postings
2020-12-27,DE,93.78,95.38,total postings
2020-12-28,DE,93.92,95.44,total postings
2020-12-29,DE,94,95.4,total postings
2020-12-30,DE,94.09,95.32,total postings
2020-12-31,DE,94.18,95.14,total postings
2021-01-01,DE,94.27,94.75,total postings
2021-01-02,DE,94.35,94.33,total postings
2021-01-03,DE,94.4,93.92,total postings
2021-01-04,DE,94.33,93.45,total postings
2021-01-05,DE,94.25,93.05,total postings
2021-01-06,DE,94.32,92.75,total postings
2021-01-07,DE,94.32,92.5,total postings
2021-01-08,DE,94.34,92.51,total postings
2021-01-09,DE,94.4,92.64,total postings
2021-01-10,DE,94.42,92.71,total postings
2021-01-11,DE,94.51,92.8,total postings
2021-01-12,DE,94.64,92.96,total postings
2021-01-13,DE,94.65,93.04,total postings
2021-01-14,DE,94.77,93.22,total postings
2021-01-15,DE,94.82,93.34,total postings
2021-01-16,DE,94.96,93.48,total postings
2021-01-17,DE,95.16,93.73,total postings
2021-01-18,DE,95.26,93.92,total postings
2021-01-19,DE,95.34,94.07,total postings
2021-01-20,DE,95.35,94.17,total postings
2021-01-21,DE,95.29,94.17,total postings
2021-01-22,DE,95.32,94.24,total postings
2021-01-23,DE,95.32,94.34,total postings
2021-01-24,DE,95.34,94.47,total postings
2021-01-25,DE,95.41,94.63,total postings
2021-01-26,DE,95.46,94.76,total postings
2021-01-27,DE,95.59,94.97,total postings
2021-01-28,DE,95.81,95.22,total postings
2021-01-29,DE,95.85,95.44,total postings
2021-01-30,DE,95.87,95.68,total postings
2021-01-31,DE,95.87,95.84,total postings
2021-02-01,DE,95.87,95.89,total postings
2021-02-02,DE,95.88,95.98,total postings
2021-02-03,DE,95.88,96.06,total postings
2021-02-04,DE,95.67,96.05,total postings
2021-02-05,DE,95.64,96.09,total postings
2021-02-06,DE,95.6,96.06,total postings
2021-02-07,DE,95.53,96.06,total postings
2021-02-08,DE,95.43,96.19,total postings
2021-02-09,DE,95.33,96.31,total postings
2021-02-10,DE,95.19,96.39,total postings
2021-02-11,DE,95.22,96.53,total postings
2021-02-12,DE,95.15,96.61,total postings
2021-02-13,DE,95.11,96.74,total postings
2021-02-14,DE,95.21,96.91,total postings
2021-02-15,DE,95.36,97.01,total postings
2021-02-16,DE,95.43,97.06,total postings
2021-02-17,DE,95.53,97.06,total postings
2021-02-18,DE,95.6,97.11,total postings
2021-02-19,DE,95.76,97.18,total postings
2021-02-20,DE,95.9,97.24,total postings
2021-02-21,DE,95.93,97.25,total postings
2021-02-22,DE,95.84,97.29,total postings
2021-02-23,DE,95.96,97.44,total postings
2021-02-24,DE,96.23,97.67,total postings
2021-02-25,DE,96.55,97.85,total postings
2021-02-26,DE,96.99,98.02,total postings
2021-02-27,DE,97.44,98.23,total postings
2021-02-28,DE,97.88,98.42,total postings
2021-03-01,DE,98.42,98.48,total postings
2021-03-02,DE,98.9,98.53,total postings
2021-03-03,DE,99.23,98.48,total postings
2021-03-04,DE,99.38,98.43,total postings
2021-03-05,DE,99.43,98.37,total postings
