date,cities,indeed_job_postings_index
2020-02-01,Aberdeen,100
2020-02-02,Aberdeen,100.04
2020-02-03,Aberdeen,100.31
2020-02-04,Aberdeen,100.28
2020-02-05,Aberdeen,100.58
2020-02-06,Aberdeen,100.46
2020-02-07,Aberdeen,100.61
2020-02-08,Aberdeen,101.34
2020-02-09,Aberdeen,101.88
2020-02-10,Aberdeen,102.21
2020-02-11,Aberdeen,102.59
2020-02-12,Aberdeen,103.17
2020-02-13,Aberdeen,103.47
2020-02-14,Aberdeen,103.71
2020-02-15,Aberdeen,103.29
2020-02-16,Aberdeen,102.48
2020-02-17,Aberdeen,102.15
2020-02-18,Aberdeen,101.96
2020-02-19,Aberdeen,101.33
2020-02-20,Aberdeen,100.77
2020-02-21,Aberdeen,100.27
2020-02-22,Aberdeen,100.04
2020-02-23,Aberdeen,100.43
2020-02-24,Aberdeen,100.32
2020-02-25,Aberdeen,100.34
2020-02-26,Aberdeen,100.13
2020-02-27,Aberdeen,100.3
2020-02-28,Aberdeen,100.23
2020-02-29,Aberdeen,100
2020-03-01,Aberdeen,99.52
2020-03-02,Aberdeen,99.04
2020-03-03,Aberdeen,98.47
2020-03-04,Aberdeen,98.17
2020-03-05,Aberdeen,97.88
2020-03-06,Aberdeen,97.58
2020-03-07,Aberdeen,97.29
2020-03-08,Aberdeen,96.95
2020-03-09,Aberdeen,96.53
2020-03-10,Aberdeen,96.06
2020-03-11,Aberdeen,95.55
2020-03-12,Aberdeen,95.03
2020-03-13,Aberdeen,94.45
2020-03-14,Aberdeen,93.89
2020-03-15,Aberdeen,93.34
2020-03-16,Aberdeen,92.65
2020-03-17,Aberdeen,91.67
2020-03-18,Aberdeen,89.95
2020-03-19,Aberdeen,87.5
2020-03-20,Aberdeen,84.46
2020-03-21,Aberdeen,81.31
2020-03-22,Aberdeen,78.29
2020-03-23,Aberdeen,75.47
2020-03-24,Aberdeen,72.5
2020-03-25,Aberdeen,69.76
2020-03-26,Aberdeen,67.04
2020-03-27,Aberdeen,64.72
2020-03-28,Aberdeen,62.65
2020-03-29,Aberdeen,60.44
2020-03-30,Aberdeen,58.16
2020-03-31,Aberdeen,56.3
2020-04-01,Aberdeen,54.2
2020-04-02,Aberdeen,52.26
2020-04-03,Aberdeen,50.26
2020-04-04,Aberdeen,48.33
2020-04-05,Aberdeen,46.49
2020-04-06,Aberdeen,44.76
2020-04-07,Aberdeen,42.8
2020-04-08,Aberdeen,41.34
2020-04-09,Aberdeen,40.03
2020-04-10,Aberdeen,38.96
2020-04-11,Aberdeen,37.93
2020-04-12,Aberdeen,36.9
2020-04-13,Aberdeen,35.97
2020-04-14,Aberdeen,35.04
2020-04-15,Aberdeen,34.14
2020-04-16,Aberdeen,33.27
2020-04-17,Aberdeen,32.48
2020-04-18,Aberdeen,31.71
2020-04-19,Aberdeen,30.96
2020-04-20,Aberdeen,30.11
2020-04-21,Aberdeen,29.42
2020-04-22,Aberdeen,28.81
2020-04-23,Aberdeen,28.43
2020-04-24,Aberdeen,28.16
2020-04-25,Aberdeen,27.88
2020-04-26,Aberdeen,27.6
2020-04-27,Aberdeen,27.45
2020-04-28,Aberdeen,27.37
2020-04-29,Aberdeen,27.24
2020-04-30,Aberdeen,27.19
2020-05-01,Aberdeen,26.99
2020-05-02,Aberdeen,26.61
2020-05-03,Aberdeen,26.35
2020-05-04,Aberdeen,26.12
2020-05-05,Aberdeen,25.85
2020-05-06,Aberdeen,25.48
2020-05-07,Aberdeen,24.97
2020-05-08,Aberdeen,24.68
2020-05-09,Aberdeen,24.61
2020-05-10,Aberdeen,24.45
2020-05-11,Aberdeen,24.26
2020-05-12,Aberdeen,24.07
2020-05-13,Aberdeen,24.1
2020-05-14,Aberdeen,24.08
2020-05-15,Aberdeen,23.84
2020-05-16,Aberdeen,23.59
2020-05-17,Aberdeen,23.39
2020-05-18,Aberdeen,23.2
2020-05-19,Aberdeen,22.97
2020-05-20,Aberdeen,22.68
2020-05-21,Aberdeen,22.55
2020-05-22,Aberdeen,22.38
2020-05-23,Aberdeen,22.25
2020-05-24,Aberdeen,22.06
2020-05-25,Aberdeen,21.84
2020-05-26,Aberdeen,21.75
2020-05-27,Aberdeen,21.7
2020-05-28,Aberdeen,21.55
2020-05-29,Aberdeen,21.52
2020-05-30,Aberdeen,21.46
2020-05-31,Aberdeen,21.61
2020-06-01,Aberdeen,21.62
2020-06-02,Aberdeen,21.6
2020-06-03,Aberdeen,21.49
2020-06-04,Aberdeen,21.39
2020-06-05,Aberdeen,21.4
2020-06-06,Aberdeen,21.44
2020-06-07,Aberdeen,21.3
2020-06-08,Aberdeen,21.27
2020-06-09,Aberdeen,21.33
2020-06-10,Aberdeen,21.39
2020-06-11,Aberdeen,21.54
2020-06-12,Aberdeen,21.64
2020-06-13,Aberdeen,21.78
2020-06-14,Aberdeen,21.9
2020-06-15,Aberdeen,22.11
2020-06-16,Aberdeen,22.32
2020-06-17,Aberdeen,22.58
2020-06-18,Aberdeen,22.72
2020-06-19,Aberdeen,22.89
2020-06-20,Aberdeen,22.98
2020-06-21,Aberdeen,23.11
2020-06-22,Aberdeen,23.18
2020-06-23,Aberdeen,23.25
2020-06-24,Aberdeen,23.4
2020-06-25,Aberdeen,23.6
2020-06-26,Aberdeen,23.72
2020-06-27,Aberdeen,23.81
2020-06-28,Aberdeen,23.93
2020-06-29,Aberdeen,24.09
2020-06-30,Aberdeen,24.24
2020-07-01,Aberdeen,24.18
2020-07-02,Aberdeen,24.11
2020-07-03,Aberdeen,24.04
2020-07-04,Aberdeen,24.1
2020-07-05,Aberdeen,24.14
2020-07-06,Aberdeen,24.13
2020-07-07,Aberdeen,23.98
2020-07-08,Aberdeen,23.96
2020-07-09,Aberdeen,23.97
2020-07-10,Aberdeen,24.12
2020-07-11,Aberdeen,24.26
2020-07-12,Aberdeen,24.46
2020-07-13,Aberdeen,24.58
2020-07-14,Aberdeen,24.78
2020-07-15,Aberdeen,24.86
2020-07-16,Aberdeen,24.94
2020-07-17,Aberdeen,24.83
2020-07-18,Aberdeen,24.7
2020-07-19,Aberdeen,24.47
2020-07-20,Aberdeen,24.34
2020-07-21,Aberdeen,24.15
2020-07-22,Aberdeen,23.44
2020-07-23,Aberdeen,22.81
2020-07-24,Aberdeen,22.16
2020-07-25,Aberdeen,21.46
2020-07-26,Aberdeen,20.79
2020-07-27,Aberdeen,20.21
2020-07-28,Aberdeen,19.61
2020-07-29,Aberdeen,19.66
2020-07-30,Aberdeen,19.64
2020-07-31,Aberdeen,19.8
