date,jobcountry,indeed_job_postings_index_SA,indeed_job_postings_index_NSA,variable
2020-02-01,US,100,100,total postings
2020-02-02,US,100.02,100.05,total postings
2020-02-03,US,100.03,100.09,total postings
2020-02-04,US,100.06,100.18,total postings
2020-02-05,US,100.12,100.29,total postings
2020-02-06,US,100.26,100.43,total postings
2020-02-07,US,100.27,100.44,total postings
2020-02-08,US,100.3,100.54,total postings
2020-02-09,US,100.28,100.61,total postings
2020-02-10,US,100.36,100.75,total postings
2020-02-11,US,100.42,100.85,total postings
2020-02-12,US,100.48,100.94,total postings
2020-02-13,US,100.5,100.99,total postings
2020-02-14,US,100.52,101.07,total postings
2020-02-15,US,100.33,100.87,total postings
2020-02-16,US,100.28,100.77,total postings
2020-02-17,US,100.18,100.64,total postings
2020-02-18,US,100.04,100.56,total postings
2020-02-19,US,99.88,100.45,total postings
2020-02-20,US,99.74,100.37,total postings
2020-02-21,US,99.63,100.32,total postings
2020-02-22,US,99.61,100.39,total postings
2020-02-23,US,99.59,100.51,total postings
2020-02-24,US,99.56,100.61,total postings
2020-02-25,US,99.63,100.75,total postings
2020-02-26,US,99.68,100.91,total postings
2020-02-27,US,99.73,101.09,total postings
2020-02-28,US,99.78,101.26,total postings
2020-02-29,US,99.9,101.53,total postings
2020-03-01,US,99.94,101.67,total postings
2020-03-02,US,100,101.81,total postings
2020-03-03,US,99.99,101.86,total postings
2020-03-04,US,99.93,101.85,total postings
2020-03-05,US,99.87,101.82,total postings
2020-03-06,US,99.83,101.77,total postings
2020-03-07,US,99.75,101.75,total postings
2020-03-08,US,99.65,101.73,total postings
2020-03-09,US,99.43,101.64,total postings
2020-03-10,US,99.34,101.66,total postings
2020-03-11,US,99.24,101.67,total postings
2020-03-12,US,99.12,101.63,total postings
2020-03-13,US,98.9,101.49,total postings
2020-03-14,US,98.66,101.31,total postings
2020-03-15,US,98.38,101.08,total postings
2020-03-16,US,98.25,100.92,total postings
2020-03-17,US,97.75,100.41,total postings
2020-03-18,US,97.04,99.76,total postings
2020-03-19,US,96.17,98.97,total postings
2020-03-20,US,95.11,97.99,total postings
2020-03-21,US,93.66,96.62,total postings
2020-03-22,US,92.37,95.4,total postings
2020-03-23,US,90.84,94.07,total postings
2020-03-24,US,89.5,92.86,total postings
2020-03-25,US,88.1,91.6,total postings
2020-03-26,US,86.68,90.29,total postings
2020-03-27,US,85.15,88.83,total postings
2020-03-28,US,83.93,87.66,total postings
2020-03-29,US,82.53,86.34,total postings
2020-03-30,US,81.37,85.09,total postings
2020-03-31,US,80.16,83.81,total postings
2020-04-01,US,79.02,82.49,total postings
2020-04-02,US,77.88,81.18,total postings
2020-04-03,US,77,80.2,total postings
2020-04-04,US,75.88,78.94,total postings
2020-04-05,US,74.77,77.66,total postings
2020-04-06,US,73.68,76.53,total postings
2020-04-07,US,72.57,75.39,total postings
2020-04-08,US,71.69,74.59,total postings
2020-04-09,US,70.84,73.81,total postings
2020-04-10,US,69.95,72.96,total postings
2020-04-11,US,69.38,72.45,total postings
2020-04-12,US,68.86,71.95,total postings
2020-04-13,US,68.3,71.35,total postings
2020-04-14,US,67.81,70.88,total postings
2020-04-15,US,67.25,70.28,total postings
2020-04-16,US,66.78,69.75,total postings
2020-04-17,US,66.31,69.26,total postings
2020-04-18,US,65.89,68.85,total postings
2020-04-19,US,65.45,68.45,total postings
2020-04-20,US,65.08,68.13,total postings
2020-04-21,US,64.72,67.82,total postings
2020-04-22,US,64.34,67.52,total postings
2020-04-23,US,63.97,67.25,total postings
2020-04-24,US,63.66,67.04,total postings
2020-04-25,US,63.41,66.87,total postings
2020-04-26,US,63.15,66.73,total postings
2020-04-27,US,62.88,66.52,total postings
2020-04-28,US,62.59,66.32,total postings
2020-04-29,US,62.38,66.18,total postings
2020-04-30,US,62.25,66.07,total postings
2020-05-01,US,62.21,66.02,total postings
2020-05-02,US,62.1,65.87,total postings
2020-05-03,US,62,65.7,total postings
2020-05-04,US,61.88,65.55,total postings
2020-05-05,US,61.8,65.47,total postings
2020-05-06,US,61.8,65.45,total postings
2020-05-07,US,61.83,65.43,total postings
2020-05-08,US,61.8,65.49,total postings
2020-05-09,US,61.86,65.69,total postings
2020-05-10,US,62,65.94,total postings
2020-05-11,US,62.05,66.11,total postings
2020-05-12,US,62.14,66.27,total postings
2020-05-13,US,61.84,66.06,total postings
2020-05-14,US,61.79,66.14,total postings
2020-05-15,US,62.01,66.38,total postings
2020-05-16,US,62.09,66.42,total postings
2020-05-17,US,62.2,66.49,total postings
2020-05-18,US,62.41,66.58,total postings
2020-05-19,US,62.57,66.68,total postings
2020-05-20,US,63.07,67.14,total postings
2020-05-21,US,63.39,67.43,total postings
2020-05-22,US,63.56,67.55,total postings
2020-05-23,US,63.83,67.82,total postings
2020-05-24,US,63.99,68,total postings
2020-05-25,US,64.05,68.17,total postings
2020-05-26,US,64.11,68.3,total postings
2020-05-27,US,64.17,68.41,total postings
2020-05-28,US,64.17,68.39,total postings
2020-05-29,US,64.29,68.53,total postings
2020-05-30,US,64.58,68.79,total postings
2020-05-31,US,64.82,68.96,total postings
2020-06-01,US,65.14,69.1,total postings
2020-06-02,US,65.56,69.32,total postings
2020-06-03,US,66.02,69.56,total postings
2020-06-04,US,66.51,69.88,total postings
2020-06-05,US,66.87,70.09,total postings
2020-06-06,US,67.11,70.25,total postings
2020-06-07,US,67.43,70.51,total postings
2020-06-08,US,67.68,70.8,total postings
2020-06-09,US,67.91,71.13,total postings
2020-06-10,US,68.12,71.42,total postings
2020-06-11,US,68.34,71.73,total postings
2020-06-12,US,68.56,72,total postings
2020-06-13,US,68.75,72.28,total postings
2020-06-14,US,69.06,72.67,total postings
2020-06-15,US,69.5,73.08,total postings
2020-06-16,US,69.89,73.47,total postings
2020-06-17,US,70.29,73.85,total postings
2020-06-18,US,70.7,74.25,total postings
2020-06-19,US,71.11,74.67,total postings
2020-06-20,US,71.63,75.16,total postings
2020-06-21,US,72.16,75.64,total postings
2020-06-22,US,72.58,76.13,total postings
2020-06-23,US,72.76,76.3,total postings
2020-06-24,US,72.95,76.49,total postings
2020-06-25,US,73.11,76.69,total postings
2020-06-26,US,73.2,76.84,total postings
2020-06-27,US,73.2,76.85,total postings
2020-06-28,US,73,76.8,total postings
2020-06-29,US,73.17,76.79,total postings
2020-06-30,US,73.6,77.05,total postings
2020-07-01,US,74.02,77.27,total postings
2020-07-02,US,74.26,77.41,total postings
2020-07-03,US,74.59,77.56,total postings
2020-07-04,US,74.88,77.71,total postings
2020-07-05,US,75.31,77.83,total postings
2020-07-06,US,75.38,77.91,total postings
2020-07-07,US,75.44,77.97,total postings
2020-07-08,US,75.6,78.17,total postings
2020-07-09,US,75.98,78.48,total postings
2020-07-10,US,76.33,78.81,total postings
2020-07-11,US,76.75,79.21,total postings
2020-07-12,US,77.11,79.61,total postings
2020-07-13,US,77.46,79.98,total postings
2020-07-14,US,77.82,80.43,total postings
2020-07-15,US,78.04,80.72,total postings
2020-07-16,US,78.2,80.94,total postings
2020-07-17,US,78.35,81.14,total postings
2020-07-18,US,78.31,81.18,total postings
2020-07-19,US,78.43,81.39,total postings
2020-07-20,US,78.62,81.62,total postings
2020-07-21,US,78.82,81.82,total postings
2020-07-22,US,79.12,82.12,total postings
2020-07-23,US,79.46,82.43,total postings
2020-07-24,US,79.83,82.78,total postings
2020-07-25,US,80.37,83.28,total postings
2020-07-26,US,80.76,83.61,total postings
2020-07-27,US,81.08,83.92,total postings
2020-07-28,US,81.39,84.23,total postings
2020-07-29,US,81.63,84.5,total postings
2020-07-30,US,81.83,84.76,total postings
2020-07-31,US,82,84.96,total postings
2020-08-01,US,82.16,85.11,total postings
2020-08-02,US,82.31,85.22,total postings
2020-08-03,US,82.49,85.35,total postings
2020-08-04,US,82.55,85.4,total postings
2020-08-05,US,82.61,85.5,total postings
2020-08-06,US,82.6,85.49,total postings
2020-08-07,US,82.62,85.5,total postings
2020-08-08,US,82.59,85.62,total postings
2020-08-09,US,82.55,85.77,total postings
2020-08-10,US,82.52,85.89,total postings
2020-08-11,US,82.57,86.1,total postings
2020-08-12,US,82.52,86.14,total postings
2020-08-13,US,82.52,86.23,total postings
2020-08-14,US,82.51,86.37,total postings
2020-08-15,US,82.33,86.29,total postings
2020-08-16,US,82.38,86.38,total postings
2020-08-17,US,82.41,86.46,total postings
2020-08-18,US,82.43,86.51,total postings
2020-08-19,US,82.55,86.7,total postings
2020-08-20,US,82.71,86.93,total postings
2020-08-21,US,82.82,87.08,total postings
2020-08-22,US,83.1,87.4,total postings
2020-08-23,US,83.17,87.52,total postings
2020-08-24,US,83.23,87.67,total postings
2020-08-25,US,83.35,87.87,total postings
2020-08-26,US,83.42,88.03,total postings
2020-08-27,US,83.45,88.1,total postings
2020-08-28,US,83.52,88.22,total postings
2020-08-29,US,83.64,88.37,total postings
2020-08-30,US,83.77,88.54,total postings
2020-08-31,US,83.88,88.68,total postings
2020-09-01,US,84,88.71,total postings
2020-09-02,US,84.14,88.74,total postings
2020-09-03,US,84.35,88.84,total postings
2020-09-04,US,84.54,88.89,total postings
2020-09-05,US,84.64,88.87,total postings
2020-09-06,US,84.78,88.89,total postings
2020-09-07,US,84.97,88.89,total postings
2020-09-08,US,85.01,88.9,total postings
2020-09-09,US,85.06,88.97,total postings
2020-09-10,US,85.19,89.12,total postings
2020-09-11,US,85.37,89.34,total postings
2020-09-12,US,85.56,89.51,total postings
2020-09-13,US,85.63,89.61,total postings
2020-09-14,US,85.64,89.77,total postings
2020-09-15,US,85.82,90.03,total postings
2020-09-16,US,86.05,90.28,total postings
2020-09-17,US,86.25,90.49,total postings
2020-09-18,US,86.43,90.68,total postings
2020-09-19,US,86.59,90.87,total postings
2020-09-20,US,86.84,91.16,total postings
2020-09-21,US,87.08,91.37,total postings
2020-09-22,US,87.31,91.64,total postings
2020-09-23,US,87.51,91.9,total postings
2020-09-24,US,87.6,92.09,total postings
2020-09-25,US,87.7,92.29,total postings
2020-09-26,US,87.78,92.47,total postings
2020-09-27,US,87.87,92.62,total postings
2020-09-28,US,88.02,92.83,total postings
2020-09-29,US,88.21,93.02,total postings
2020-09-30,US,88.43,93.17,total postings
2020-10-01,US,88.54,93.2,total postings
2020-10-02,US,88.7,93.23,total postings
2020-10-03,US,88.93,93.33,total postings
2020-10-04,US,89.1,93.41,total postings
2020-10-05,US,89.24,93.47,total postings
2020-10-06,US,89.29,93.47,total postings
2020-10-07,US,89.37,93.55,total postings
2020-10-08,US,89.57,93.81,total postings
2020-10-09,US,89.69,94.08,total postings
2020-10-10,US,89.84,94.34,total postings
2020-10-11,US,90,94.66,total postings
2020-10-12,US,90.21,94.96,total postings
2020-10-13,US,90.36,95.19,total postings
2020-10-14,US,90.4,95.36,total postings
2020-10-15,US,90.49,95.46,total postings
2020-10-16,US,90.53,95.47,total postings
2020-10-17,US,90.41,95.4,total postings
2020-10-18,US,90.38,95.41,total postings
2020-10-19,US,90.37,95.4,total postings
2020-10-20,US,90.47,95.52,total postings
2020-10-21,US,90.62,95.68,total postings
2020-10-22,US,90.76,95.86,total postings
2020-10-23,US,90.85,96.03,total postings
2020-10-24,US,91.07,96.31,total postings
2020-10-25,US,91.19,96.47,total postings
2020-10-26,US,91.25,96.64,total postings
2020-10-27,US,91.32,96.78,total postings
2020-10-28,US,91.36,96.87,total postings
2020-10-29,US,91.34,96.99,total postings
2020-10-30,US,91.39,97.09,total postings
2020-10-31,US,91.46,97.13,total postings
2020-11-01,US,91.6,97.18,total postings
2020-11-02,US,91.84,97.19,total postings
2020-11-03,US,91.95,97.18,total postings
2020-11-04,US,92.08,97.19,total postings
2020-11-05,US,92.24,97.15,total postings
2020-11-06,US,92.41,97.18,total postings
2020-11-07,US,92.66,97.26,total postings
2020-11-08,US,92.84,97.34,total postings
2020-11-09,US,92.91,97.43,total postings
