date,country,YoY_pct_change_in_postings_trend_from_feb1
2020-02-01,CA,0
2020-02-02,CA,-0.0199760287654893
2020-02-03,CA,0.23978419422519
2020-02-04,CA,0.179622792136525
2020-02-05,CA,0.23940149625933899
2020-02-06,CA,0.319106501794963
2020-02-07,CA,0.418493423674771
2020-02-08,CA,0.526943726386953
2020-02-09,CA,0.685135537682457
2020-02-10,CA,0.544986127625835
2020-02-11,CA,0.653012763431304
2020-02-12,CA,0.671339717642416
2020-02-13,CA,0.650502661147256
2020-02-14,CA,0.531391458374331
2020-02-15,CA,0.166928515318143
2020-02-16,CA,0.157062923333662
2020-02-17,CA,-0.0293944738389174
2020-02-18,CA,-0.371492814546881
2020-02-19,CA,-0.547302580140718
2020-02-20,CA,-0.644909126441273
2020-02-21,CA,-0.703262355928891
2020-02-22,CA,-0.7518062878344
2020-02-23,CA,-0.848697688030442
2020-02-24,CA,-0.771409042085724
2020-02-25,CA,-0.586338317209023
2020-02-26,CA,-0.556314659379264
2020-02-27,CA,-0.564971751412424
2020-02-28,CA,-0.622144454165452
2020-03-01,CA,-0.340433809940677
2020-03-02,CA,-0.408242612752718
2020-03-03,CA,-0.505050505050497
2020-03-04,CA,-0.631067961165055
2020-03-05,CA,-0.737577639751563
2020-03-06,CA,-0.341296928327639
2020-03-07,CA,-0.555230859146694
2020-03-08,CA,-0.815613166326823
2020-03-09,CA,-1.16987334429083
2020-03-10,CA,-1.41523057668239
2020-03-11,CA,-1.6484569676059
2020-03-12,CA,-1.8894932722588
2020-03-13,CA,-2.61091665878346
2020-03-14,CA,-2.75341819896275
2020-03-15,CA,-3.22035489625387
2020-03-16,CA,-3.62325624941485
2020-03-17,CA,-4.5344280649375
2020-03-18,CA,-5.86594775495025
2020-03-19,CA,-7.46199480904709
2020-03-20,CA,-9.27005273383292
2020-03-21,CA,-11.6772823779193
2020-03-22,CA,-13.8487054270709
2020-03-23,CA,-16.1263660574892
2020-03-24,CA,-18.4034460636055
2020-03-25,CA,-20.5048472654106
2020-03-26,CA,-22.5871191388433
2020-03-27,CA,-24.8636363636364
2020-03-28,CA,-26.5916923635044
2020-03-29,CA,-28.4796961201049
2020-03-30,CA,-30.237386045672
2020-03-31,CA,-31.6980791775634
2020-04-01,CA,-33.0684486183854
2020-04-02,CA,-34.4450469992769
2020-04-03,CA,-35.4894155961643
2020-04-04,CA,-36.6530981456355
2020-04-05,CA,-37.737556561086
2020-04-06,CA,-38.8597285067873
2020-04-07,CA,-40.0668835864064
2020-04-08,CA,-41.1515588394305
2020-04-09,CA,-42.1369518332135
2020-04-10,CA,-43.1182795698925
2020-04-11,CA,-43.9159588734913
2020-04-12,CA,-44.6985261277356
2020-04-13,CA,-45.3895639742673
2020-04-14,CA,-46.0144604123895
2020-04-15,CA,-46.8206545973424
2020-04-16,CA,-47.445841133993
2020-04-17,CA,-47.9486264716375
2020-04-18,CA,-48.3767392079914
2020-04-19,CA,-48.952856251671
2020-04-20,CA,-49.1570778699492
2020-04-21,CA,-49.2628004646591
2020-04-22,CA,-49.2260892905073
2020-04-23,CA,-49.1426519436215
2020-04-24,CA,-49.0457328051855
2020-04-25,CA,-48.9827151602449
2020-04-26,CA,-48.7719298245614
2020-04-27,CA,-48.7679856115108
2020-04-28,CA,-48.7368515688214
2020-04-29,CA,-48.6508364813815
2020-04-30,CA,-48.6340762041697
2020-05-01,CA,-48.6845649636347
2020-05-02,CA,-48.6231101511879
2020-05-03,CA,-48.6589000270929
2020-05-04,CA,-48.777186174533
2020-05-05,CA,-48.7954524948119
2020-05-06,CA,-48.8674307372981
2020-05-07,CA,-48.9047146849364
2020-05-08,CA,-48.8338586222422
2020-05-09,CA,-48.6732032023028
2020-05-10,CA,-48.3586653476032
2020-05-11,CA,-48.0764032795747
2020-05-12,CA,-47.9455757794197
2020-05-13,CA,-47.8609384850941
2020-05-14,CA,-47.8440903771717
